pres,leg,plus70,61_70,51_60,41_50,31_40,22_30,18_21,men,women,center,deleg,circ
76.51,79.81,8.61,13.46,20.53,20.21,18.88,14.96,3.36,51.31,48.69,م إبتدائية حي الرياض المرسى,المرسى الرياض,Tunis2
62.05,65.71,3.25,8.37,16.52,21.5,24.13,22.81,3.42,47.65,52.35,م.إعدادية حي الرياض المرسى,المرسى الرياض,Tunis2
69.65,73.67,4.7,10.39,19.95,22.13,20.44,18.8,3.6,47.36,52.64,م إبتدائية فرحات حشادالمرسى - الرميلة ,الرميلة,Tunis2
69.38,70.97,7.12,13.2,17.04,17.04,23.6,19.29,2.72,48.88,51.12,م إبتدائية الحي الجديد المرسى - الرميلة ,الرميلة,Tunis2
72.92,75.85,6.57,10.8,17.54,20.93,22.24,18.19,3.74,49.74,50.26,م إبتدائية قمرت,قمرت,Tunis2
78.95,81.16,5.18,9.52,20.36,21.76,20.57,17.99,4.62,51.54,48.46,م إبتدائية 14 جانفي بالحروش - قمرت,قمرت,Tunis2
77.01,80.89,5.39,11.07,16.58,21.21,23.32,18.16,4.27,52.2,47.8,م إبتدائية سيدي داود ,سيدي داود,Tunis2
63.49,67.6,2.21,6.93,14.14,19.73,28.11,24.27,4.6,47.15,52.85,م.إعدادية سيدي داود,سيدي داود,Tunis2
62.06,67.63,4.01,8.45,17.47,24.48,25.42,17.07,3.1,53.45,46.55,م إبتدائية البحر الأزرق المرسى ,البحر الأزرق,Tunis2
85.27,88.47,12.84,11.42,19.02,23.91,16.66,12.56,3.6,48.57,51.43,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان,غرة جوان,Tunis2
78.23,81.25,8.65,9.05,19.75,21.57,21.29,14.29,5.41,47.87,52.13,م.إعدادية الموقع الجميل المنزه - غرة جوان,غرة جوان,Tunis2
85.3,87.91,11.82,10.53,18.55,19.77,18.15,15.26,5.93,48.17,51.83,م إبتدائية الهادي خفشة المنزه ,المنزه,Tunis2
75.71,78.97,7.37,7.77,17.58,19.25,20.56,21.87,5.6,46.91,53.09,م.إعدادية نهج الرصاص المنزه,المنزه,Tunis2
86.86,88.86,8.96,19.06,15.72,15.49,21.17,15.89,3.72,48.02,51.98,م إبتدائية حي المنار 2 - المنار,المنار,Tunis2
86.17,89.17,7.1,17.58,14.66,14.66,23.32,17.35,5.32,46.91,53.09,م إبتدائية المنزه التاسع - المنار,المنار,Tunis2
78.01,81.05,4.43,11.87,14.43,16.1,24.18,22.98,6.02,44.98,55.02,م.إعدادية المنار 2 - المنار,المنار,Tunis2
80.29,83.72,5.47,13.43,16.72,17.08,20.72,21.47,5.11,47.06,52.94,م إبتدائية المنار 1 - المنار(1),المنار(1),Tunis2
76.12,80.47,3.8,9.16,16.38,16.77,20.42,25.85,7.61,44.57,55.43,م.إعدادية المنار 1,المنار(1),Tunis2
77.8,81.06,5.56,9.13,16.3,17.51,22.55,21.36,7.6,50.79,49.21,م إبتدائية شارع الحبيب بورقيبة باردو,باردو ,Tunis2
79.18,81.83,9.25,10.11,17.5,23.76,18.62,15.77,5,50.63,49.37,م إبتدائية حي الرياض - باردو ,باردو ,Tunis2
72.08,76.67,4.83,9.17,17.54,20.92,20.35,19.39,7.8,46.98,53.02,م.إعدادية حي فطومة بورقيبة بـاردو,باردو ,Tunis2
77.07,78.45,9.02,10.23,17.96,21.25,20.06,17.1,4.4,47.14,52.86,م إبتدائية نهج الهادي شاكر - باردو الجنوبي,باردو الجنوبي,Tunis2
76.16,78.89,7.21,10.56,21.01,19.26,17.38,19.67,4.92,43.24,56.76,م إبتدائية نهج تازركة باردو - بوشوشة,بوشوشة,Tunis2
76.45,79.95,6.97,9.2,17.58,20.64,20.85,19.73,5.03,48.21,51.79,م إبتدائية نهج البرتقال - بوشوشة,بوشوشة,Tunis2
72.17,76.6,5.67,10.35,15.76,22.66,21.18,17.98,6.4,45.81,54.19,م إبتدائية الصنوبر - الإقامة الطيبة,الإقامة الطيبة,Tunis2
71.53,74.76,6.43,10.38,17.32,18.28,22.42,24,1.18,51.33,48.67,م إبتدائية نهج مدنين عدد 21 باردو - خزندار,خزندار,Tunis2
